id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,city
613836997434550887,Stylish 3BR with tons of natural light & backyard,126543638,Alec,Brighton Park,41.81729,-87.68579,Entire home/apt,141.0,2,109,2025-05-31,2.93,295,Chicago
614552947743423651,Quiet room #6,246839504,Silvia,Woodlawn,41.783314,-87.608162,Private room,45.0,2,12,2025-06-09,0.79,105,Chicago
614553361349129459,Quiet Room #5,246839504,Silvia,Woodlawn,41.78438,-87.6077,Private room,45.0,2,111,2025-06-15,2.92,287,Chicago
614569250885720529,Lovely bedroom close to the lake & public transit,257850882,Manuel,Rogers Park,42.00522379886269,-87.67095942509216,Private room,74.0,32,0,No review,0.0,365,Chicago
614631484350436569,Vibrant studio in Edgewater by the red L& Loyola,273591286,Regina,Edgewater,41.98822,-87.65694,Entire home/apt,128.0,1,138,2025-05-23,3.74,18,Chicago
615050908520321131,Modern 2 Bedroom Walk Up Condo in Irving Park,68844359,Logan,Irving Park,41.95656,-87.70499,Entire home/apt,169.0,2,76,2024-10-27,2.19,305,Chicago
615781894376955798,Exclusive Condo Steps from Old Town + Lincoln Park,409349669,Mark,Lincoln Park,41.91165,-87.64774,Entire home/apt,148.0,2,105,2025-05-21,2.8,95,Chicago
615840035511079757,South Loop 2BR Apt Near Lakefront & McCormick,395498979,Milan,Near South Side,41.8558,-87.62541,Entire home/apt,259.0,2,128,2025-05-26,3.37,360,Chicago
615850055810564857,Central 2BR South Loop Location Near McCormick,395498979,Milan,Near South Side,41.85364,-87.62321,Entire home/apt,209.0,2,77,2025-04-12,2.03,347,Chicago
615866049044369003,"Luxury 2BR | McCormick, Lakefront, Parking & Gym",395498979,Milan,Near South Side,41.85577,-87.62413,Entire home/apt,270.0,2,107,2025-04-20,2.82,348,Chicago
615872996222019546,Spacious 2BR Skyline | South Loop near McCormick,395498979,Milan,Near South Side,41.85431,-87.62337,Entire home/apt,218.0,2,70,2025-05-26,1.85,331,Chicago
616016896174374957,Luxury Chicago Condo Near Downtown,456687795,Crystal,Austin,41.89379501342773,-87.7684326171875,Entire home/apt,248.0,2,30,2025-05-30,1.24,344,Chicago
616168662512528578,3BD Home Mins from Airport | Free Wi-Fi + Parking,131692581,Karna,Norwood Park,41.98027,-87.81545,Entire home/apt,154.0,2,122,2025-05-18,3.39,109,Chicago
